Date;Last Price;Volume;SMAVG (15)
04.03.2003;2501,03;101799224;106821096
03.03.2003;2549,65;73923984;105407736
28.02.2003;2547,05;93380400;106021800
27.02.2003;2513,22;122746760;106812040
26.02.2003;2450,2;119300304;105182448
25.02.2003;2485,5;143902560;104169736
24.02.2003;2571,35;73568808;100820984
21.02.2003;2648,87;121297352;100829432
20.02.2003;2591,26;139339296;99812768
19.02.2003;2624,65;183765408;98252632
18.02.2003;2740,14;86586544;95092744
17.02.2003;2708,97;59239028;96693376
14.02.2003;2674,46;102075624;101239640
13.02.2003;2555,27;88841536;101026456
12.02.2003;2571,25;92549584;102720064
11.02.2003;2627;80598872;104908056
10.02.2003;2586,09;83134880;106234144
07.02.2003;2569,34;105234000;104941784
06.02.2003;2649;98302872;105087880
05.02.2003;2725,88;104109632;103964760
04.02.2003;2632,98;93671344;103304384
03.02.2003;2751,99;73695520;104341336
31.01.2003;2747,83;106047384;105384336
30.01.2003;2693,78;115937256;105788032
29.01.2003;2706,57;136367136;105035896
28.01.2003;2671,36;110595984;101765488
27.01.2003;2643,8;127433016;99956848
24.01.2003;2717,82;98877832;96924208
23.01.2003;2811,22;114245688;95419720
22.01.2003;2803,25;125369400;92525080
21.01.2003;2870,57;100490208;86119376
20.01.2003;2893,55;63749536;81603840
17.01.2003;2918,82;107425416;80121104
16.01.2003;3054,11;81456080;83818928
15.01.2003;3049,4;94204008;86030080
14.01.2003;3098,72;109225624;86153200
13.01.2003;3060,65;89340496;83584736
10.01.2003;3037,33;112102752;82827072
09.01.2003;3037,68;104655224;81028488
08.01.2003;2993;87311032;79389496
07.01.2003;3112,77;83466368;78502760
06.01.2003;3157,25;81943488;78157872
03.01.2003;3092,94;76310472;77432072
02.01.2003;3105,04;70826080;79447088
30.12.2002;2892,63;29283860;83009984
27.12.2002;2840;32757128;87037520
23.12.2002;3000,84;41508536;91056496
20.12.2002;3024,22;162892736;96075936
19.12.2002;2961,41;114623376;91161152
18.12.2002;3022,69;96050848;88324240
17.12.2002;3139,97;70698648;87708864
16.12.2002;3205,29;77975472;88772648
13.12.2002;3077,06;85124104;88005056
12.12.2002;3111,88;80070288;88172416
11.12.2002;3196,05;74009992;89939112
10.12.2002;3167,99;78293088;90123944
09.12.2002;3065,57;71056496;89276696
06.12.2002;3207,53;106535616;89225736
05.12.2002;3224,74;124269632;88025800
04.12.2002;3320,75;89696792;86382088
03.12.2002;3280,49;93041872;86634088
02.12.2002;3380,2;116800032;86758808
29.11.2002;3320,32;89170976;83578320
28.11.2002;3360,76;72069704;83947072
27.11.2002;3346,14;86820248;86304512
26.11.2002;3191,63;86655424;88183448
25.11.2002;3299,24;66461560;88013280
22.11.2002;3320,88;87634568;89521360
21.11.2002;3304,63;106570648;88122408
20.11.2002;3212,99;76782552;87764584
19.11.2002;3206,93;65584272;88495560
18.11.2002;3218,36;70292144;90628416
15.11.2002;3191,76;88536528;91272440
14.11.2002;3188,39;99613984;91306824
13.11.2002;3066,42;93476824;91561312
12.11.2002;3115,88;94912688;92680736
11.11.2002;3042,06;69092720;92629848
08.11.2002;3079,1;94702272;92649216
07.11.2002;3155,66;107431224;93530504
06.11.2002;3298,84;115004320;94292120
05.11.2002;3351,32;84102912;94334512
04.11.2002;3327,94;89082760;96893552
01.11.2002;3165,16;66650224;96234992
31.10.2002;3152,85;101203368;100822584
30.10.2002;3113,59;87747112;101842376
29.10.2002;3022,01;97577208;103178032
28.10.2002;3198,96;79952440;103198480
25.10.2002;3102,01;89052304;103696984
24.10.2002;3090,01;103431312;103496360
23.10.2002;3015,42;110268232;101236088
22.10.2002;3155,97;94149280;101056368
21.10.2002;3282,67;69383296;101387264
18.10.2002;3163,67;107921600;103816128
